carat,cut,color,clarity,depth,table,weight,size,price
0.9,Fair,F,SI2,64.6,56,6.01,6.07,3613
1.15,Ideal,G,SI2,62.8,57,6.7,6.65,3613
0.72,Very Good,G,IF,60.7,56,5.78,5.81,3614
1,Good,J,SI1,58.7,62,6.47,6.51,3614
1.09,Ideal,G,I1,61,56,6.66,6.62,3614
0.91,Very Good,G,SI2,62.9,54,6.14,6.22,3615
0.9,Very Good,G,SI1,63.8,53,6.1,6.16,3615
0.9,Very Good,G,SI1,63.4,54,6.11,6.16,3615
1.05,Fair,F,SI2,66,60,6.3,6.22,3615
0.73,Ideal,D,SI1,61.3,57,5.81,5.83,3615
0.9,Good,G,SI1,64.5,57,6.04,6.09,3615
0.9,Good,G,SI1,65,57,5.96,6.01,3615
1.09,Ideal,J,VS2,62.5,55,6.64,6.58,3615
1.05,Ideal,J,SI2,61.6,57,6.55,6.51,3616
0.74,Very Good,E,VVS2,61.9,59,5.74,5.77,3616
0.73,Good,F,VVS2,59.5,61,5.8,5.83,3616
1,Good,J,SI1,59.5,61,6.46,6.52,3616
0.9,Premium,J,VVS1,62,58,6.19,6.11,3617
1.03,Fair,H,SI1,65.1,57,6.43,6.36,3617
0.91,Premium,F,SI1,62.6,56,6.18,6.13,3618
0.92,Premium,H,SI1,62,60,6.21,6.27,3618
0.92,Very Good,G,SI2,59.4,62,6.34,6.36,3618
0.91,Very Good,I,VVS2,63.5,59,6.1,6.06,3618
0.7,Ideal,D,VS1,62.8,53.4,5.64,5.68,3618
0.7,Ideal,D,VS1,63.1,54,5.62,5.65,3618
0.71,Premium,D,VVS2,60,58,5.92,5.84,3618
0.91,Premium,F,SI2,61.4,60,6.23,6.21,3618
0.9,Ideal,F,SI2,61.9,56,6.18,6.23,3619
0.9,Premium,F,SI2,61.4,58,6.13,6.19,3619
0.72,Very Good,D,VS1,59.4,56,5.85,5.9,3619
0.88,Ideal,F,SI2,62.2,56,6.11,6.17,3619
1.01,Very Good,J,VS2,63.3,54,6.42,6.34,3620
1.01,Good,I,VS2,63.6,57,6.3,6.21,3620
1.01,Good,G,SI2,63.8,56,6.32,6.22,3620
0.73,Premium,D,VS1,60,58,5.86,5.9,3620
0.91,Premium,I,VS1,59.5,62,6.3,6.24,3620
1.01,Premium,H,SI2,60.1,58,6.55,6.52,3620
0.93,Premium,F,SI2,59.5,60,6.39,6.36,3620
0.73,Ideal,E,VS1,61.2,57,5.85,5.8,3620
0.82,Very Good,F,VS2,58.7,58,6.1,6.2,3621
0.9,Good,F,SI2,61.3,59,6.12,6.15,3621
0.7,Very Good,D,VVS2,62.3,56,5.66,5.7,3622
0.7,Very Good,D,VVS2,61.1,57,5.7,5.75,3622
0.7,Very Good,F,VVS1,63.1,58,5.6,5.66,3622
0.72,Ideal,D,VS1,61.4,56,5.8,5.82,3622
0.72,Ideal,D,VS1,62.3,54,5.74,5.79,3622
0.8,Ideal,E,SI1,62.3,54,5.95,5.97,3622
0.82,Ideal,E,SI1,61.8,58,5.99,6.05,3622
0.98,Fair,F,SI1,61.8,66,6.38,6.27,3622
0.7,Very Good,E,IF,63.4,58,5.64,5.59,3622
1.1,Ideal,F,I1,61.3,56.9,6.62,6.68,3623
0.92,Premium,H,SI1,62.4,58,6.19,6.22,3624
0.94,Very Good,H,SI2,62.7,61,6.21,6.24,3624
0.9,Very Good,F,SI1,63.1,58,6.09,6.15,3624
0.81,Ideal,F,VS2,61.9,55,6,5.95,3624
0.81,Ideal,F,VS2,61.8,55,5.96,5.92,3624
0.75,Ideal,D,VS2,61.7,55,5.82,5.85,3625
0.92,Very Good,F,SI2,59.9,60,6.26,6.29,3625
0.61,Ideal,D,VVS1,62.3,54,5.4,5.45,3625
0.9,Premium,E,SI1,60.7,61,6.19,6.17,3625
0.83,Premium,E,VS2,61.3,59,6.08,6.02,3625
0.83,Ideal,E,VS2,61.8,57,6.04,6.03,3625
0.9,Good,E,SI1,60.8,65,6.31,6.18,3625
0.71,Very Good,F,VVS1,62.7,58,5.67,5.72,3626
1.01,Good,G,SI2,63.6,58,6.31,6.37,3626
1.01,Good,G,SI2,63.7,58,6.31,6.35,3626
0.9,Good,H,SI2,64.5,58,6,5.96,3627
0.79,Premium,E,VS2,62.1,59,5.9,5.86,3628
1,Ideal,I,SI2,58.8,55,6.53,6.46,3629
1,Ideal,I,SI2,58.8,55,6.53,6.46,3629
0.9,Ideal,I,VS2,61.5,58,6.19,6.23,3629
0.72,Ideal,D,VS1,62.5,55,5.71,5.74,3629
0.9,Fair,G,SI1,64.5,57,6.07,6.03,3629
0.9,Ideal,H,SI1,62.8,57,6.16,6.14,3629
0.9,Premium,H,SI1,60,56,6.33,6.27,3629
0.9,Premium,H,SI1,61.9,58,6.2,6.15,3629
0.9,Premium,H,VS2,60,59,6.23,6.16,3629
1.08,Ideal,H,SI2,62,57,6.65,6.55,3629
0.9,Premium,F,SI2,58.4,62,6.37,6.34,3629
0.9,Very Good,F,SI2,60.3,63,6.28,6.21,3630
0.8,Ideal,E,SI1,61.7,56,5.99,6.04,3630
1,Fair,G,SI1,67.7,57,6,6.15,3631
0.91,Very Good,E,SI2,62.5,59,6.16,6.23,3632
0.9,Very Good,D,SI2,59.8,53,6.2,6.25,3632
0.91,Good,E,SI2,64.3,57,6,6.04,3632
0.74,Ideal,E,VVS2,61.9,57,5.79,5.81,3633
1.02,Good,F,SI2,59.6,64,6.58,6.55,3633
1.06,Fair,G,SI2,65.3,62,6.33,6.25,3633
1.02,Fair,F,SI2,66.6,58,6.21,6.14,3633
1.02,Good,F,SI2,64.2,61,6.3,6.21,3633
0.94,Very Good,D,SI2,62,57,6.28,6.34,3634
1,Premium,D,SI2,62,60,6.38,6.3,3634
1,Fair,D,SI2,65.2,56,6.27,6.21,3634
1,Good,D,SI2,64,59,6.29,6.24,3634
1,Fair,G,SI1,43,59,6.32,6.27,3634
1,Premium,G,SI1,60.1,61,6.44,6.4,3634
1,Premium,G,SI1,60.1,61,6.44,6.4,3634
1.03,Premium,J,SI2,62.8,58,6.48,6.41,3634
1,Good,D,SI2,63.9,56,6.32,6.27,3634
1.03,Ideal,F,I1,61,56,6.58,6.52,3634
1.03,Ideal,H,SI2,60.8,56,6.56,6.47,3634
0.91,Ideal,H,SI1,62.4,57,6.18,6.23,3635
0.74,Ideal,G,VS1,61.2,56,5.83,5.86,3635
0.74,Ideal,G,VS1,60.9,55,5.84,5.91,3635
1.12,Ideal,J,VS2,62.9,57,6.55,6.52,3638
0.91,Very Good,E,SI2,60.3,59,6.28,6.25,3638
1.02,Good,J,SI2,62.2,61,6.41,6.48,3639
0.91,Premium,E,SI2,61.1,59,6.24,6.2,3639
0.91,Premium,E,SI2,62.8,61,6.09,6.07,3639
1.14,Good,I,SI1,63.9,58,6.64,6.6,3639
1,Premium,F,SI2,59.8,58,6.53,6.48,3640
0.76,Very Good,F,VVS2,62.9,58,5.76,5.85,3640
1.03,Very Good,J,SI2,63.1,57,6.41,6.43,3640
1,Fair,H,SI2,65.1,58,6.27,6.15,3640
1,Premium,H,SI2,59.1,62,6.5,6.47,3640
1,Good,H,SI2,64.1,61,6.36,6.27,3640
1,Premium,H,SI2,59.6,62,6.52,6.41,3640
1,Good,I,SI1,57.6,61,6.56,6.52,3640
1,Good,H,SI2,63.8,55,6.28,6.24,3640
1,Very Good,I,SI1,63.3,54,6.39,6.34,3640
1,Premium,J,VS1,59.7,62,6.52,6.46,3640
1,Premium,G,SI2,63,56,6.37,6.33,3640
1,Good,H,SI2,63.8,57,6.32,6.28,3640
0.82,Very Good,E,VS2,62.6,60,5.91,5.97,3641
0.85,Ideal,F,VS2,62.4,57,6.13,6.01,3641
0.71,Premium,G,IF,62,58,5.67,5.72,3642
0.91,Ideal,F,SI2,62.7,57,6.16,6.21,3642
0.9,Very Good,J,VS1,62.4,57,6.13,6.18,3643
0.9,Very Good,D,SI2,58.8,59,6.24,6.28,3643
0.77,Very Good,D,VS1,62.4,58,5.82,5.87,3643
0.81,Very Good,E,SI1,61.9,60,5.87,5.95,3643
0.9,Very Good,H,SI1,63,58,6.13,6.18,3643
1.16,Premium,D,I1,61.8,59,6.74,6.78,3644
0.9,Good,I,VS1,63.3,59,6.06,6.1,3644
0.9,Ideal,H,SI1,61.5,57,6.17,6.23,3644
0.9,Very Good,I,VS1,62.2,58,6.13,6.18,3644
0.93,Very Good,G,SI2,60.8,62,6.29,6.34,3644
0.7,Ideal,F,VVS2,61.7,58,5.66,5.71,3644
0.91,Premium,E,SI2,61,58,6.31,6.27,3644
0.91,Premium,F,SI1,62.7,59,6.23,6.18,3644
0.77,Premium,D,VS1,62.1,57,5.85,5.8,3644
1.16,Good,G,SI2,63.7,57,6.59,6.56,3644
1,Good,G,SI2,61.4,61,6.32,6.35,3646
0.93,Premium,H,SI1,62.8,58,6.24,6.21,3646
0.77,Ideal,F,VS1,61.2,56,5.9,5.93,3647
0.8,Ideal,E,VS2,62.2,57,5.95,5.98,3648
0.76,Ideal,H,VVS1,61.9,54,5.87,5.9,3648
0.76,Ideal,F,VS2,61.9,57,5.83,5.86,3648
0.76,Ideal,G,VS1,61.3,54,5.88,5.94,3648
0.92,Premium,G,SI2,58.4,58,6.4,6.34,3648
0.76,Ideal,E,VS1,60.5,56,5.94,5.99,3649
0.92,Good,E,SI1,63.3,57,6.17,6.22,3649
0.9,Very Good,G,SI1,63.6,57,6.09,6.12,3649
0.9,Very Good,G,SI1,63.5,59,6.07,6.11,3649
0.73,Ideal,E,VS2,61.7,57,5.77,5.8,3649
0.92,Premium,G,SI2,62.9,58,6.21,6.15,3650
0.93,Very Good,J,VS1,63,53,6.22,6.26,3651
1.02,Premium,J,VS2,58.9,60,6.57,6.53,3651
1,Good,G,SI2,57.8,64,6.55,6.5,3651
0.82,Ideal,G,VS1,61.5,56,6.01,6.05,3652
0.95,Premium,H,SI2,58.8,60,6.45,6.38,3652
0.8,Very Good,F,VS2,62.3,57,5.91,5.94,3653
0.91,Very Good,F,SI2,61.6,59,6.14,6.24,3653
0.8,Ideal,F,VS2,62,55,5.93,6,3653
0.76,Very Good,G,VVS2,62.1,56,5.81,5.85,3655
1.01,Good,J,VS2,62.8,58,6.3,6.35,3655
0.77,Ideal,F,VS1,60.9,58,5.91,5.95,3655
1.11,Premium,D,I1,61.9,58,6.66,6.63,3655
1.07,Very Good,G,SI2,63.5,59,6.52,6.46,3655
1.02,Premium,G,SI2,62.5,58,6.42,6.34,3656
0.9,Very Good,I,VS1,63.3,58,6.07,6.1,3656
0.7,Ideal,H,VS2,61.9,56,5.68,5.73,3656
0.7,Ideal,H,VS2,60.8,56,5.74,5.77,3656
0.9,Ideal,J,VS1,62.6,54,6.15,6.18,3656
1.02,Good,H,SI2,64,57,6.41,6.37,3656
1.02,Ideal,I,SI1,62.9,57,6.41,6.37,3656
1.01,Premium,J,SI2,61.9,59,6.38,6.34,3658
0.96,Fair,H,VS2,68.8,56,6.11,5.98,3658
0.91,Very Good,F,SI2,62.4,58,6.17,6.21,3659
0.9,Good,F,SI1,62.8,64,6.18,5.99,3659
0.73,Ideal,E,VS1,60.9,55.8,5.8,5.85,3660
0.9,Good,E,SI2,59.9,61,6.16,6.2,3660
0.91,Good,D,SI2,63.3,62,6.01,6.09,3660
1.09,Premium,I,SI1,62.7,60,6.57,6.51,3662
0.9,Premium,E,SI2,62.2,60,6.15,6.19,3662
0.9,Very Good,E,SI2,62.4,57,6.13,6.17,3662
0.9,Premium,E,SI2,61.3,60,6.17,6.23,3662
0.9,Premium,E,SI2,60.8,60,6.21,6.25,3662
0.9,Very Good,E,SI2,62.6,60,6.09,6.18,3662
0.9,Ideal,E,SI2,62,55,6.15,6.23,3662
0.7,Ideal,F,VS1,61.2,56,5.73,5.76,3662
1.22,Very Good,H,I1,61.6,56,6.8,6.87,3663
0.89,Good,F,SI1,64.3,55,6.12,6.01,3663
0.9,Premium,I,VS2,60.1,59,6.37,6.25,3663
0.91,Very Good,I,VS2,61,57,6.2,6.26,3664
0.87,Very Good,D,SI1,60.2,60,6.12,6.17,3664
0.91,Ideal,G,SI2,62.3,56,6.18,6.22,3664
1.01,Premium,I,SI2,59.6,62,6.56,6.5,3665
0.91,Ideal,E,SI1,60.7,56,6.26,6.22,3665
1.01,Premium,H,SI2,59.6,60,6.5,6.55,3665
1.19,Ideal,H,I1,61.5,57,6.79,6.83,3665
1.27,Very Good,I,I1,60.2,62,7,7.05,3665
0.91,Premium,E,SI1,62.2,58,6.29,6.18,3665
1.01,Good,J,SI1,63.6,54,6.44,6.36,3665
0.91,Very Good,J,VS1,62.1,55,6.16,6.24,3666
0.9,Good,I,VS1,63.5,61,5.96,6.01,3666
0.73,Ideal,G,VVS1,61.3,56,5.79,5.82,3667
0.7,Very Good,D,VS2,60.6,60,5.71,5.75,3668
0.78,Very Good,D,VS2,62.2,56,5.85,5.91,3668
1.03,Premium,F,SI2,62.2,60,6.47,6.45,3668
0.74,Ideal,D,VS2,61.4,58,5.8,5.83,3668
1.03,Very Good,F,SI2,63.1,57,6.42,6.38,3668
0.73,Very Good,F,VVS2,63.8,59,5.69,5.72,3669
0.95,Premium,J,VVS2,62.6,59,6.23,6.26,3669
0.85,Very Good,D,SI1,60.3,57,6.09,6.22,3669
0.73,Ideal,G,VVS1,61.9,57,5.76,5.8,3669
0.9,Good,G,SI1,57.7,65,6.25,6.29,3669
0.9,Good,G,SI1,65.2,58,6,6.06,3669
1.04,Premium,J,SI2,62,59,6.49,6.47,3669
0.91,Premium,H,SI1,62.8,58,6.16,6.13,3669
0.9,Good,G,SI1,63.7,60,6.11,6.07,3669
0.91,Premium,I,VS1,61.9,57,6.24,6.19,3669
0.9,Very Good,G,SI1,63.1,59,6.15,6.11,3669
0.9,Good,I,IF,63.7,64,6.07,6.02,3669
0.9,Good,G,SI1,63.7,58,6.12,6.09,3669
0.9,Good,H,VS1,64,59,6.05,6.01,3669
0.9,Good,G,SI1,63.8,59,6.08,6.05,3669
0.9,Very Good,G,SI1,63.2,59,6.1,6.05,3669
0.9,Premium,G,SI1,62,61,6.13,6.07,3669
1.12,Premium,I,SI2,61.2,58,6.72,6.68,3669
1,Fair,F,SI1,66.7,57,6.07,5.99,3669
1.04,Ideal,H,SI2,62,57,6.53,6.43,3669
0.91,Ideal,I,VS1,62.5,55,6.25,6.2,3669
0.9,Premium,G,SI1,61.9,59,6.18,6.13,3669
1.12,Fair,I,SI2,64.6,57,6.5,6.47,3669
1.17,Premium,H,I1,62.8,58,6.71,6.69,3669
1.13,Ideal,H,I1,61.1,56,6.77,6.71,3669
0.91,Premium,H,SI1,62.2,60,6.22,6.16,3669
1.04,Ideal,I,SI1,59.7,56,6.6,6.54,3669
0.9,Premium,G,SI1,62.6,62,6.08,6.06,3669
0.71,Very Good,D,VVS2,62.7,59,5.64,5.69,3670
0.85,Ideal,G,SI1,62.2,56,6.04,6.09,3670
1.13,Ideal,H,SI2,60.6,57,6.79,6.77,3670
1.01,Premium,H,SI2,63,59,6.33,6.27,3671
1.01,Fair,G,SI1,66.1,56,6.26,6.2,3671
1.01,Good,D,SI2,63.8,61,6.13,6.06,3671
0.76,Ideal,G,VVS1,62,54.7,5.83,5.87,3671
0.78,Ideal,E,SI1,60.4,57,5.95,6,3671
1.01,Very Good,D,SI2,59.1,63,6.59,6.54,3671
0.95,Premium,G,SI2,60.5,62,6.44,6.36,3671
0.78,Very Good,D,VS2,59.8,60,5.97,6.03,3672
1,Good,F,SI2,60.6,62,6.36,6.45,3672
1.06,Premium,J,SI2,61.3,60,6.52,6.59,3672
1.05,Premium,F,SI2,61.1,59,6.54,6.61,3672
0.7,Ideal,G,IF,60.2,57,5.78,5.84,3672
0.8,Very Good,G,VS1,62.7,56,5.9,5.94,3673
0.73,Ideal,D,VS2,62.3,54,5.77,5.8,3673
0.82,Premium,G,SI1,61.8,58,6.02,5.98,3674
0.71,Ideal,D,SI1,61.4,56,5.7,5.74,3674
0.71,Ideal,D,SI1,60.6,56,5.78,5.81,3674
0.96,Fair,E,SI2,57.7,67,6.49,6.46,3674
1.01,Premium,E,SI2,62.3,55,6.35,6.29,3674
1,Ideal,F,SI2,61.1,54,6.51,6.47,3674
0.81,Premium,E,VS2,61.5,58,5.99,5.94,3674
1.01,Very Good,E,SI2,63.3,58,6.4,6.31,3674
0.92,Premium,H,SI1,62.2,58,6.19,6.23,3675
1.03,Premium,D,SI2,62.3,58,6.5,6.4,3675
0.79,Ideal,H,VVS1,62,56,5.92,5.96,3675
0.63,Premium,E,VS1,60.5,57,5.58,5.53,3675
1,Good,G,SI2,63.4,60,6.22,6.34,3676
1.01,Premium,H,SI2,60.3,59,6.51,6.45,3676
1.01,Fair,H,VS1,67.1,59,6.16,6.09,3676
1.01,Premium,H,SI2,61.6,60,6.22,6.18,3676
1.01,Very Good,I,SI1,63.2,55,6.4,6.32,3676
1.01,Good,I,SI1,64.1,59,6.24,6.21,3676
0.9,Ideal,J,IF,62.2,57,6.17,6.14,3677
0.9,Ideal,I,VS1,61.6,56,6.22,6.16,3677
1.13,Ideal,H,I1,62.2,55,6.65,6.69,3678
1.1,Ideal,F,I1,61.8,56,6.61,6.65,3678
1.1,Very Good,F,I1,59.8,61,6.65,6.7,3678
0.9,Very Good,F,SI1,63.6,58,6.1,6.13,3679
0.75,Ideal,D,VS2,61.1,55,5.87,5.89,3679
0.92,Very Good,E,SI2,63.2,54,6.29,6.25,3679
1,Good,J,SI1,63.9,60,6.26,6.19,3679
0.9,Ideal,F,SI2,62.3,57,6.19,6.17,3679
0.9,Premium,H,SI1,62,62,6.13,6.03,3679
0.31,Very Good,I,VVS1,62.2,60,4.3,4.32,571
0.31,Premium,D,SI1,60.9,60,4.38,4.39,571
0.31,Good,D,SI1,63.5,55,4.27,4.3,571
0.31,Ideal,D,SI1,62.4,53,4.33,4.35,571
0.28,Very Good,E,VVS2,64,54,4.11,4.17,572
0.28,Very Good,E,VVS2,60.1,62,4.25,4.27,572
0.28,Very Good,F,VVS1,58.9,62,4.27,4.32,572
0.38,Ideal,J,VS2,62.3,55,4.63,4.65,572
0.24,Ideal,F,VS1,62.7,54,3.99,4.02,572
0.24,Ideal,F,VS1,61.8,54,3.99,4.03,572
0.37,Ideal,F,SI2,60.9,56,4.65,4.68,572
0.3,Ideal,H,SI1,61.6,57,4.28,4.32,572
0.33,Premium,I,SI1,62.8,58,4.43,4.39,572
0.33,Ideal,I,SI1,62.7,56,4.44,4.4,572
0.33,Ideal,I,SI1,61.5,57,4.49,4.46,572
0.33,Premium,I,SI1,61.4,58,4.5,4.46,572
0.33,Premium,I,SI1,61.3,59,4.51,4.46,572
0.33,Very Good,I,SI1,63.2,58,4.38,4.36,572
0.33,Good,I,SI1,63.6,57,4.42,4.39,572
0.42,Very Good,G,SI2,59.5,61,4.85,4.9,573
0.34,Ideal,G,VS2,61.6,56,4.48,4.51,573
0.3,Ideal,F,VS2,61.6,56,4.3,4.33,573
0.3,Ideal,F,VS2,61.9,56,4.32,4.34,573
0.3,Ideal,F,VS2,62.2,55,4.3,4.32,573
0.3,Ideal,F,VS2,62.5,54,4.29,4.32,573
0.3,Ideal,F,VS2,62.3,55,4.3,4.34,573
0.3,Ideal,F,VS2,61.1,56,4.36,4.38,573
0.3,Ideal,F,VS2,60.9,56,4.35,4.39,573
0.3,Ideal,F,VS2,61.9,54,4.29,4.33,573
0.3,Ideal,F,VS2,61.7,58,4.28,4.31,573
0.92,Premium,E,SI2,61.8,59,6.19,6.11,3679
0.76,Ideal,F,VS1,62.2,56,5.83,5.87,3680
0.9,Very Good,G,SI1,63,57,6.13,6.19,3681
1.01,Very Good,G,SI2,62,58,6.41,6.46,3682
0.91,Premium,F,SI2,61.4,60,6.21,6.23,3682
0.8,Ideal,D,SI2,61.9,54,5.98,5.96,3682
0.7,Ideal,F,VVS1,62.5,57,5.62,5.67,3683
0.92,Premium,F,SI1,62.6,59,6.23,6.19,3684
0.93,Very Good,I,SI1,58.9,60,6.43,6.48,3685
0.84,Ideal,D,SI1,62.4,57,6.03,6.08,3685
1,Premium,J,VS2,62,62,6.42,6.35,3685
1,Premium,J,VS2,60.7,61,6.5,6.41,3685
1.02,Premium,F,SI2,62.5,58,6.4,6.47,3686
1.21,Ideal,I,I1,61.3,57,6.94,6.89,3686
0.91,Very Good,F,SI2,61.2,59,6.2,6.22,3688
1.12,Ideal,I,SI2,62.4,57,6.69,6.62,3688
0.96,Fair,F,SI2,65.2,58,6.14,6.12,3688
0.9,Premium,D,SI1,59.5,57,6.29,6.21,3689
0.9,Very Good,E,SI1,60.7,61,6.17,6.19,3689
0.81,Very Good,F,VS1,62.7,56,5.92,5.98,3689
0.9,Good,D,SI1,63.6,63,6.07,6.03,3689
0.9,Fair,D,SI1,64.8,59,6.1,6.03,3689
0.9,Fair,D,SI1,64.5,61,6.05,6.01,3689
0.9,Good,D,SI1,64.1,56,6.07,6.04,3689
0.9,Good,D,SI1,63.9,57,6.1,6.04,3689
0.72,Premium,F,VVS1,62.8,58,5.75,5.68,3689
0.93,Premium,G,SI2,62.2,55,6.27,6.24,3689
0.71,Good,D,VS1,64.2,58,5.65,5.6,3690
0.72,Ideal,E,VS1,62.1,54,5.74,5.76,3690
1,Good,J,SI1,61.7,62,6.37,6.4,3690
0.96,Premium,H,SI2,59.4,56,6.47,6.42,3690
1.1,Ideal,F,I1,61.3,57,6.68,6.62,3690
0.94,Very Good,D,SI2,60.9,62,6.22,6.3,3691
0.71,Very Good,F,VVS1,61.8,58,5.63,5.73,3692
0.77,Very Good,F,VS2,62.6,55,5.85,5.88,3692
1.03,Ideal,G,SI2,60.4,56,6.56,6.53,3692
1.11,Premium,I,SI2,61.3,59,6.69,6.63,3692
1.03,Very Good,F,SI2,63.3,59,6.35,6.32,3692
1.03,Ideal,H,SI2,60.5,57,6.58,6.52,3692
1.23,Fair,E,I1,67.4,56,6.76,6.56,3692
0.97,Ideal,H,SI2,61.6,55,6.37,6.32,3694
0.74,Ideal,F,VS1,62,54,5.85,5.81,3694
1.21,Premium,J,VS2,59,60,6.93,6.88,3694
1,Ideal,F,SI2,62.3,56,6.34,6.27,3696
1.1,Good,H,SI2,57.6,61,6.82,6.73,3696
1,Good,E,SI2,57.7,65,6.55,6.59,3696
1.2,Very Good,H,I1,58.6,57,6.96,7.01,3696
0.9,Good,F,SI1,64,59,5.97,5.99,3696
1,Fair,E,SI1,66.5,55,6.21,6.19,3696
1,Premium,G,SI2,59.1,59,6.54,6.5,3696
1,Good,E,SI1,57.6,65,6.47,6.44,3696
1.1,Premium,G,SI2,63,59,6.5,6.47,3696
1.1,Premium,I,SI2,62.4,59,6.55,6.51,3696
1.1,Premium,J,VS2,61.2,57,6.66,6.61,3696
1.5,Good,I,I1,63.7,61,7.22,7.1,3696
1.2,Fair,H,SI2,65.6,57,6.73,6.57,3696
0.75,Ideal,D,VS1,62.4,54,5.86,5.84,3696
0.77,Ideal,E,VS1,62,56,5.87,5.9,3697
0.9,Very Good,E,SI2,63.5,58,6.08,6.14,3697
0.92,Ideal,G,SI2,63,57,6.16,6.13,3697
0.9,Fair,H,VS2,64.7,58,5.98,6.01,3697
0.82,Premium,E,VS2,59.7,61,6.08,6.04,3697
1.31,Premium,J,SI2,59.7,59,7.06,7.01,3697
1.01,Good,J,SI1,63.6,54,6.44,6.36,3699
0.9,Very Good,F,SI1,63.8,54,6.09,6.13,3699
0.9,Very Good,F,SI1,63.4,57,6.06,6.11,3699
0.9,Good,F,SI1,58,58,6.24,6.28,3699
1,Fair,G,SI1,66.1,62,6.1,6.03,3700
1.12,Very Good,G,SI2,63.4,57,6.51,6.47,3700
1.08,Premium,G,SI2,59.3,61,6.66,6.61,3701
1.02,Premium,H,SI2,59.2,59,6.57,6.54,3701
0.9,Good,H,VS2,63.6,61,6.03,5.97,3701
0.9,Premium,E,SI2,59.2,60,6.31,6.23,3701
0.71,Ideal,F,VS1,61.1,56,5.76,5.8,3701
0.71,Ideal,F,VS1,61,56,5.77,5.8,3701
0.71,Good,F,VS1,61.8,57,5.73,5.76,3701
0.77,Ideal,F,SI1,61.7,56,5.85,5.91,3702
0.91,Premium,E,SI2,61.1,59,6.2,6.24,3703
0.91,Very Good,E,SI2,62.8,61,6.07,6.09,3703
0.91,Very Good,I,SI1,62.8,57,6.09,6.18,3703
0.9,Premium,F,SI2,60.5,57,6.23,6.2,3704
0.9,Ideal,F,SI2,62.6,57,6.2,6.13,3704
0.9,Premium,F,SI2,60.1,59,6.31,6.24,3704
0.9,Premium,F,SI2,62.3,57,6.18,6.15,3704
0.9,Premium,F,SI2,58,57,6.41,6.34,3704
0.9,Premium,F,SI2,61.5,59,6.23,6.2,3704
0.9,Premium,F,SI2,62,61,6.16,6.14,3704
0.9,Premium,F,SI2,61.4,62,6.2,6.11,3704
0.9,Premium,F,SI2,60.3,55,6.35,6.28,3704
0.73,Very Good,F,VVS2,62.1,57,5.74,5.76,3705
0.85,Very Good,F,VS2,62.2,56,6.01,6.08,3705
0.71,Ideal,F,VVS2,61.2,55,5.73,5.84,3705
0.9,Very Good,D,SI2,62.9,59,6.06,6.15,3706
0.92,Very Good,D,SI2,63.7,57,6.12,6.21,3707
0.77,Ideal,H,VVS2,61.3,56,5.91,5.94,3707
0.72,Ideal,H,VVS1,61.8,56,5.75,5.78,3708
0.9,Very Good,I,VS2,58.7,60,6.28,6.35,3709
0.9,Very Good,I,VS2,60.7,59,6.23,6.26,3709
0.9,Very Good,I,VS2,63,60,6.15,6.17,3709
0.9,Very Good,I,VS2,59.9,58,6.17,6.22,3709
1.01,Very Good,F,SI2,59.5,57,6.61,6.66,3709
0.92,Premium,H,SI1,59,59,6.36,6.31,3709
0.86,Ideal,D,SI1,62.8,56,6.05,6.08,3709
0.91,Very Good,H,SI1,63.4,59,6.12,6.09,3710
0.75,Ideal,F,VVS2,61.9,54,5.83,5.84,3710
0.79,Ideal,I,VS2,60.9,56,5.97,5.99,3710
0.71,Ideal,F,VS1,60.9,57,5.76,5.78,3710
0.71,Ideal,F,VS1,60.8,56,5.81,5.82,3710
0.71,Ideal,F,VS1,61.5,56,5.72,5.76,3710
0.71,Ideal,F,VS1,61.9,56,5.7,5.74,3710
0.71,Ideal,F,VS1,61.4,56,5.75,5.78,3710
0.71,Ideal,F,VS1,61.5,57,5.71,5.77,3710
0.71,Ideal,F,VS1,61.3,56,5.69,5.75,3710
0.71,Ideal,F,VS1,60.9,56,5.76,5.79,3710
0.71,Ideal,F,VS1,61.9,56,5.69,5.72,3710
0.71,Ideal,F,VS1,61.8,55,5.71,5.73,3710
0.71,Ideal,F,VS1,61.5,56,5.72,5.75,3710
0.71,Ideal,F,VS1,61.4,57,5.72,5.73,3710
0.91,Very Good,G,SI1,63.5,61,6.1,6.05,3710
1.16,Premium,D,I1,61.8,59,6.78,6.74,3711
1,Premium,I,SI2,61.6,59,6.34,6.41,3712
1,Premium,J,SI1,60.8,58,6.39,6.44,3712
0.75,Ideal,D,SI1,61.1,56,5.85,5.9,3712
1.02,Premium,I,VS2,61.1,59,6.4,6.37,3713
0.78,Ideal,E,VS2,61.1,55,5.99,5.96,3713
0.92,Very Good,G,SI2,62.4,60,6.18,6.22,3713
0.8,Ideal,F,VS2,61.2,58,5.99,6.03,3713
1,Premium,G,SI2,61.4,61,6.35,6.32,3713
1.02,Premium,I,SI1,60.2,60,6.45,6.39,3713
1.02,Good,H,SI2,64.3,60,6.36,6.25,3713
1.02,Premium,H,SI2,61.3,57,6.51,6.45,3713
1,Very Good,G,SI2,63.1,63,6.33,6.23,3713
1.02,Very Good,H,SI2,63.4,63,6.36,6.32,3713
1.02,Premium,H,SI2,60.8,58,6.48,6.45,3713
1.02,Ideal,H,SI2,62,56,6.4,6.34,3713
